Instance,Blocking,Lower_Bound,Upper_Bound,Gap,Trivial_Instance,Opt_Solved,Timed_Out,Memory_Out,Opt_Value,Num_Variables,Num_Constraints,Solving_Time,Nodes_Iterations,UB_Opt
Average,70.525,84.125,139.275,55.15,0,0,0,40,NA,388124,8.09E+06,NA,NA,0
1,71,76,144,68,FALSE,FALSE,FALSE,TRUE,NA,388124,8.09E+06,NA,NA,FALSE
2,68,74,125,51,FALSE,FALSE,FALSE,TRUE,NA,388124,8.11E+06,NA,NA,FALSE
3,69,80,127,47,FALSE,FALSE,FALSE,TRUE,NA,388124,8.11E+06,NA,NA,FALSE
4,68,83,134,51,FALSE,FALSE,FALSE,TRUE,NA,388124,8.10E+06,NA,NA,FALSE
5,73,80,163,83,FALSE,FALSE,FALSE,TRUE,NA,388124,8.09E+06,NA,NA,FALSE
6,67,89,130,41,FALSE,FALSE,FALSE,TRUE,NA,388124,8.10E+06,NA,NA,FALSE
7,70,75,137,62,FALSE,FALSE,FALSE,TRUE,NA,388124,8.10E+06,NA,NA,FALSE
8,71,87,144,57,FALSE,FALSE,FALSE,TRUE,NA,388124,8.08E+06,NA,NA,FALSE
9,68,74,138,64,FALSE,FALSE,FALSE,TRUE,NA,388124,8.11E+06,NA,NA,FALSE
10,76,90,125,35,FALSE,FALSE,FALSE,TRUE,NA,388124,8.08E+06,NA,NA,FALSE
11,72,83,137,54,FALSE,FALSE,FALSE,TRUE,NA,388124,8.08E+06,NA,NA,FALSE
12,75,88,147,59,FALSE,FALSE,FALSE,TRUE,NA,388124,8.06E+06,NA,NA,FALSE
13,62,69,118,49,FALSE,FALSE,FALSE,TRUE,NA,388124,8.14E+06,NA,NA,FALSE
14,71,81,153,72,FALSE,FALSE,FALSE,TRUE,NA,388124,8.09E+06,NA,NA,FALSE
15,71,79,162,83,FALSE,FALSE,FALSE,TRUE,NA,388124,8.08E+06,NA,NA,FALSE
16,68,78,139,61,FALSE,FALSE,FALSE,TRUE,NA,388124,8.10E+06,NA,NA,FALSE
17,79,91,170,79,FALSE,FALSE,FALSE,TRUE,NA,388124,8.03E+06,NA,NA,FALSE
18,68,95,124,29,FALSE,FALSE,FALSE,TRUE,NA,388124,8.12E+06,NA,NA,FALSE
19,74,87,130,43,FALSE,FALSE,FALSE,TRUE,NA,388124,8.08E+06,NA,NA,FALSE
20,76,95,153,58,FALSE,FALSE,FALSE,TRUE,NA,388124,8.07E+06,NA,NA,FALSE
21,72,86,165,79,FALSE,FALSE,FALSE,TRUE,NA,388124,8.08E+06,NA,NA,FALSE
22,66,86,132,46,FALSE,FALSE,FALSE,TRUE,NA,388124,8.10E+06,NA,NA,FALSE
23,61,85,124,39,FALSE,FALSE,FALSE,TRUE,NA,388124,8.13E+06,NA,NA,FALSE
24,69,90,131,41,FALSE,FALSE,FALSE,TRUE,NA,388124,8.12E+06,NA,NA,FALSE
25,78,85,149,64,FALSE,FALSE,FALSE,TRUE,NA,388124,8.07E+06,NA,NA,FALSE
26,76,91,156,65,FALSE,FALSE,FALSE,TRUE,NA,388124,8.05E+06,NA,NA,FALSE
27,71,84,135,51,FALSE,FALSE,FALSE,TRUE,NA,388124,8.09E+06,NA,NA,FALSE
28,72,80,146,66,FALSE,FALSE,FALSE,TRUE,NA,388124,8.09E+06,NA,NA,FALSE
29,71,93,135,42,FALSE,FALSE,FALSE,TRUE,NA,388124,8.09E+06,NA,NA,FALSE
30,73,79,161,82,FALSE,FALSE,FALSE,TRUE,NA,388124,8.09E+06,NA,NA,FALSE
31,74,82,136,54,FALSE,FALSE,FALSE,TRUE,NA,388124,8.07E+06,NA,NA,FALSE
32,70,79,127,48,FALSE,FALSE,FALSE,TRUE,NA,388124,8.10E+06,NA,NA,FALSE
33,67,95,143,48,FALSE,FALSE,FALSE,TRUE,NA,388124,8.11E+06,NA,NA,FALSE
34,72,88,139,51,FALSE,FALSE,FALSE,TRUE,NA,388124,8.11E+06,NA,NA,FALSE
35,68,96,129,33,FALSE,FALSE,FALSE,TRUE,NA,388124,8.10E+06,NA,NA,FALSE
36,66,79,123,44,FALSE,FALSE,FALSE,TRUE,NA,388124,8.14E+06,NA,NA,FALSE
37,69,87,137,50,FALSE,FALSE,FALSE,TRUE,NA,388124,8.12E+06,NA,NA,FALSE
38,69,89,142,53,FALSE,FALSE,FALSE,TRUE,NA,388124,8.11E+06,NA,NA,FALSE
39,73,80,127,47,FALSE,FALSE,FALSE,TRUE,NA,388124,8.08E+06,NA,NA,FALSE
40,67,77,134,57,FALSE,FALSE,FALSE,TRUE,NA,388124,8.10E+06,NA,NA,FALSE
