"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",10.600000000000003,13.575,16.750000000000004,3.175,"4","36","0","0",15.425,3675.0,32361.916666666668,1.7874999999999999,22.805555555555557,"13","12.559526694444445","1.8650822499999997","-0.9960288611111111"
"1",9.0,13.0,15.0,2.0,"false","true","false","false",15.0,3675.0,32230.0,0.295,0.0,"true","11.354505","2.3545049999999996","-1.6454950000000004"
"2",14.0,16.0,20.0,4.0,"false","true","false","false",19.0,3675.0,31853.0,1.06,0.0,"false","15.313725","1.3137249999999998","-0.6862750000000002"
"3",10.0,13.0,16.0,3.0,"false","true","false","false",15.0,3675.0,32664.0,0.32,0.0,"false","11.867584","1.8675840000000008","-1.1324159999999992"
"4",10.0,10.0,13.0,3.0,"false","true","false","false",12.0,3675.0,32633.0,0.17,0.0,"false","10.898851","0.8988510000000005","0.8988510000000005"
"5",11.0,14.0,21.0,7.0,"false","true","false","false",17.0,3675.0,32248.0,0.652,0.0,"false","12.847468","1.8474679999999992","-1.1525320000000008"
"6",8.0,11.0,15.0,4.0,"false","true","false","false",14.0,3675.0,32565.0,0.265,0.0,"false","10.762943","2.762943","-0.23705700000000007"
"7",9.0,10.0,13.0,3.0,"false","true","false","false",12.0,3675.0,32651.0,0.206,0.0,"false","10.207851","1.2078509999999998","0.20785099999999979"
"8",10.0,16.0,24.0,8.0,"false","true","false","false",20.0,3675.0,31993.0,1.056,0.0,"false","13.776301","3.776301","-2.223699"
"9",10.0,14.0,18.0,4.0,"false","true","false","false",15.0,3675.0,32357.0,0.602,0.0,"false","12.304538","2.304538000000001","-1.6954619999999991"
"10",9.0,10.0,12.0,2.0,"false","true","false","false",11.0,3675.0,32855.0,0.116,0.0,"false","9.744898","0.7448979999999992","-0.25510200000000083"
"11",8.0,12.0,13.0,1.0,"false","true","false","false",13.0,3675.0,32810.0,0.135,0.0,"true","9.857143","1.8571430000000007","-2.1428569999999993"
"12",12.0,15.0,23.0,8.0,"false","true","false","false",19.0,3675.0,32139.0,4.709,59.0,"false","14.271299","2.271299000000001","-0.7287009999999992"
"13",12.0,18.0,20.0,2.0,"false","true","false","false",19.0,3675.0,32061.0,1.122,0.0,"false","14.667099","2.6670990000000003","-3.3329009999999997"
"14",12.0,14.0,17.0,3.0,"false","true","false","false",16.0,3675.0,32177.0,0.399,0.0,"false","13.771997","1.7719970000000007","-0.2280029999999993"
"15",10.0,12.0,12.0,0.0,"true",NA,NA,NA,12.0,NA,NA,NA,NA,"true",NA,NA,NA
"16",13.0,16.0,18.0,2.0,"false","true","false","false",17.0,3675.0,32204.0,0.33,0.0,"false","14.513151","1.5131510000000006","-1.4868489999999994"
"17",11.0,17.0,21.0,4.0,"false","true","false","false",20.0,3675.0,32214.0,6.937,143.0,"false","13.726141","2.726141","-3.273859"
"18",6.0,6.0,7.0,1.0,"false","true","false","false",7.0,3675.0,33083.0,0.091,0.0,"true","6.65","0.6500000000000004","0.6500000000000004"
"19",11.0,18.0,18.0,0.0,"true",NA,NA,NA,18.0,NA,NA,NA,NA,"true",NA,NA,NA
"20",12.0,13.0,17.0,4.0,"false","true","false","false",17.0,3675.0,32513.0,0.385,0.0,"true","13.45","1.4499999999999993","0.4499999999999993"
"21",11.0,14.0,22.0,8.0,"false","true","false","false",18.0,3675.0,32336.0,1.774,0.0,"false","13.223214","2.2232140000000005","-0.7767859999999995"
"22",9.0,13.0,14.0,1.0,"false","true","false","false",13.0,3675.0,32619.0,0.207,0.0,"false","10.830991","1.8309909999999991","-2.169009000000001"
"23",8.0,8.0,9.0,1.0,"false","true","false","false",9.0,3675.0,32900.0,0.178,0.0,"true","8.45","0.4499999999999993","0.4499999999999993"
"24",11.0,14.0,22.0,8.0,"false","true","false","false",17.0,3675.0,31916.0,2.209,0.0,"false","13.266201","2.2662010000000006","-0.7337989999999994"
"25",7.0,8.0,8.0,0.0,"true",NA,NA,NA,8.0,NA,NA,NA,NA,"true",NA,NA,NA
"26",13.0,17.0,26.0,9.0,"false","true","false","false",21.0,3675.0,31580.0,25.431,46.0,"false","15.575395","2.5753950000000003","-1.4246049999999997"
"27",12.0,13.0,14.0,1.0,"false","true","false","false",14.0,3675.0,32476.0,0.207,0.0,"true","12.822511","0.8225110000000004","-0.17748899999999956"
"28",12.0,16.0,19.0,3.0,"false","true","false","false",18.0,3675.0,31870.0,0.555,0.0,"false","14.872955","2.8729549999999993","-1.1270450000000007"
"29",13.0,15.0,19.0,4.0,"false","true","false","false",19.0,3675.0,32375.0,8.534,573.0,"true","14.450535","1.4505350000000004","-0.5494649999999996"
"30",11.0,13.0,15.0,2.0,"false","true","false","false",14.0,3675.0,32387.0,1.144,0.0,"false","12.0","1.0","-1.0"
"31",9.0,9.0,12.0,3.0,"false","true","false","false",11.0,3675.0,32954.0,0.104,0.0,"false","9.666667","0.6666670000000003","0.6666670000000003"
"32",13.0,17.0,21.0,4.0,"false","true","false","false",19.0,3675.0,31653.0,0.857,0.0,"false","15.666424","2.6664239999999992","-1.3335760000000008"
"33",11.0,13.0,15.0,2.0,"false","true","false","false",14.0,3675.0,32561.0,0.185,0.0,"false","12.473798","1.4737980000000004","-0.5262019999999996"
"34",11.0,16.0,17.0,1.0,"false","true","false","false",17.0,3675.0,32374.0,0.216,0.0,"true","13.443376","2.4433760000000007","-2.5566239999999993"
"35",10.0,13.0,16.0,3.0,"false","true","false","false",15.0,3675.0,32609.0,0.223,0.0,"false","12.168893","2.1688930000000006","-0.8311069999999994"
"36",11.0,17.0,17.0,0.0,"true",NA,NA,NA,17.0,NA,NA,NA,NA,"true",NA,NA,NA
"37",11.0,13.0,14.0,1.0,"false","true","false","false",13.0,3675.0,32721.0,0.172,0.0,"false","12.074539","1.0745389999999997","-0.9254610000000003"
"38",12.0,16.0,22.0,6.0,"false","true","false","false",18.0,3675.0,31883.0,2.301,0.0,"false","14.352837","2.352836999999999","-1.6471630000000008"
"39",11.0,15.0,19.0,4.0,"false","true","false","false",18.0,3675.0,32163.0,0.992,0.0,"false","13.889351","2.8893509999999996","-1.1106490000000004"
"40",11.0,15.0,16.0,1.0,"false","true","false","false",16.0,3675.0,32402.0,0.211,0.0,"true","12.92978","1.9297799999999992","-2.070220000000001"
