"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt"
"Average",21.449999999999992,26.950000000000003,35.9,8.95,"0","19","21","0",28.05263157894737,20062.0,253368.73684210525,441.6634210526316,466.42105263157896,"1"
"1",17.0,28.0,35.0,7.0,"false","true","false","false",29.0,20062.0,252546.0,11.561,0.0,"false"
"2",22.0,27.0,48.0,21.0,"false","false","true","false",NA,20062.0,250102.0,NA,NA,"false"
"3",25.0,28.0,40.0,12.0,"false","false","true","false",NA,20062.0,250375.0,NA,NA,"false"
"4",23.0,27.0,42.0,15.0,"false","false","true","false",NA,20062.0,251697.0,NA,NA,"false"
"5",23.0,26.0,40.0,14.0,"false","false","true","false",NA,20062.0,250872.0,NA,NA,"false"
"6",25.0,30.0,43.0,13.0,"false","false","true","false",NA,20062.0,250230.0,NA,NA,"false"
"7",22.0,28.0,35.0,7.0,"false","false","true","false",NA,20062.0,251213.0,NA,NA,"false"
"8",20.0,23.0,30.0,7.0,"false","true","false","false",25.0,20062.0,254421.0,5.848,0.0,"false"
"9",19.0,25.0,32.0,7.0,"false","true","false","false",27.0,20062.0,251593.0,1091.133,115.0,"false"
"10",15.0,23.0,29.0,6.0,"false","true","false","false",29.0,20062.0,254704.0,70.579,0.0,"true"
"11",23.0,27.0,37.0,10.0,"false","false","true","false",NA,20062.0,252132.0,NA,NA,"false"
"12",18.0,24.0,25.0,1.0,"false","true","false","false",24.0,20062.0,255335.0,4.073,0.0,"false"
"13",17.0,26.0,32.0,6.0,"false","true","false","false",28.0,20062.0,253127.0,96.999,0.0,"false"
"14",22.0,27.0,41.0,14.0,"false","true","false","false",28.0,20062.0,251640.0,156.768,0.0,"false"
"15",24.0,28.0,38.0,10.0,"false","false","true","false",NA,20062.0,250051.0,NA,NA,"false"
"16",19.0,26.0,44.0,18.0,"false","false","true","false",NA,20062.0,251911.0,NA,NA,"false"
"17",22.0,26.0,31.0,5.0,"false","true","false","false",29.0,20062.0,254342.0,12.514,0.0,"false"
"18",23.0,27.0,39.0,12.0,"false","false","true","false",NA,20062.0,253235.0,NA,NA,"false"
"19",20.0,30.0,34.0,4.0,"false","true","false","false",31.0,20062.0,252590.0,150.858,0.0,"false"
"20",21.0,24.0,29.0,5.0,"false","true","false","false",27.0,20062.0,254261.0,26.863,0.0,"false"
"21",21.0,26.0,31.0,5.0,"false","true","false","false",30.0,20062.0,254275.0,31.141,0.0,"false"
"22",23.0,27.0,32.0,5.0,"false","false","true","false",NA,20062.0,252368.0,NA,NA,"false"
"23",23.0,28.0,37.0,9.0,"false","false","true","false",NA,20062.0,252295.0,NA,NA,"false"
"24",24.0,28.0,36.0,8.0,"false","true","false","false",31.0,20062.0,251904.0,1664.332,962.0,"false"
"25",19.0,25.0,31.0,6.0,"false","true","false","false",27.0,20062.0,253537.0,16.923,0.0,"false"
"26",25.0,28.0,34.0,6.0,"false","true","false","false",31.0,20062.0,251465.0,2442.809,2085.0,"false"
"27",25.0,32.0,43.0,11.0,"false","false","true","false",NA,20062.0,249887.0,NA,NA,"false"
"28",19.0,23.0,31.0,8.0,"false","true","false","false",26.0,20062.0,253919.0,216.967,219.0,"false"
"29",21.0,31.0,41.0,10.0,"false","false","true","false",NA,20062.0,251582.0,NA,NA,"false"
"30",24.0,34.0,42.0,8.0,"false","false","true","false",NA,20062.0,249274.0,NA,NA,"false"
"31",23.0,27.0,41.0,14.0,"false","false","true","false",NA,20062.0,251537.0,NA,NA,"false"
"32",20.0,24.0,27.0,3.0,"false","true","false","false",25.0,20062.0,254136.0,7.274,0.0,"false"
"33",20.0,26.0,29.0,3.0,"false","true","false","false",28.0,20062.0,254109.0,435.941,5165.0,"false"
"34",23.0,28.0,36.0,8.0,"false","false","true","false",NA,20062.0,250071.0,NA,NA,"false"
"35",21.0,24.0,33.0,9.0,"false","false","true","false",NA,20062.0,252964.0,NA,NA,"false"
"36",21.0,26.0,33.0,7.0,"false","true","false","false",30.0,20062.0,253566.0,264.254,15.0,"false"
"37",19.0,25.0,35.0,10.0,"false","false","true","false",NA,20062.0,252021.0,NA,NA,"false"
"38",21.0,24.0,31.0,7.0,"false","true","false","false",28.0,20062.0,252536.0,1684.768,301.0,"false"
"39",21.0,32.0,45.0,13.0,"false","false","true","false",NA,20062.0,250853.0,NA,NA,"false"
"40",25.0,30.0,44.0,14.0,"false","false","true","false",NA,20062.0,248396.0,NA,NA,"false"
