"Class","Average_Num_Binary_Variables","Average_Num_Constraints","Average_Nodes_Iterations","Average_Diff_Blocking","Average_Diff_LB"
"(3,3)","408.0 (546.8)",2326.4,0.0,"1.0953347692307691","-0.13543446153846161"
"(3,4)","927.0 (2140.1)",6730.7,0.0,"0.8647642142857144","-0.4209500714285714"
"(3,5)","1764.0 (5236.0)",15389.8,0.0,"0.7380431666666665","-0.6786235"
"(3,6)","2995.0 (16170.8)",30303.2,0.0,"0.6973400000000001","-0.8026599999999999"
"(3,7)","4696.0 (25576.0)",54364.3,0.0,"0.7890595714285713","-0.925226142857143"
"(3,8)","6943.0 (37248.0)",90340.4,0.0,"0.49679237500000006","-0.6282076249999999"
"(4,4)","2005.0 (5755.5)",16383.5,0.0,"1.359073375","-0.8284266250000001"
"(4,5)","3844.0 (19380.2)",37413.0,0.0,"1.056672551724138","-0.943327448275862"
"(4,6)","6560.0 (32718.8)",74130.1,3.5,"1.025555827586207","-1.3192717586206895"
"(4,7)","10324.0 (72055.6)",132182.1,0.0,"0.8150041290322582","-1.055963612903226"
"(5,4)","3675.0 (15161.6)",32361.9,22.8,"1.8650822499999997","-0.9960288611111111"
"(5,5)","7074.0 (42530.7)",73823.8,420.7,"2.090561948717949","-1.7043098461538464"
"(5,6)","12105.0 (112706.7)",145421.6,77.5,"1.6738798918918916","-1.704498486486486"
"(5,7)","19088.0 (198902.1)",260202.2,25.6,"1.7231096774193553","-2.0833419354838703"
"(5,8)","28343.0 (352122.7)",431277.6,18.2,"1.725582758620689","-2.3433827586206903"
"(5,9)","40190.0 (583790.6)",675140.5,10.7,"1.952228391304347","-3.656467260869566"
"(5,10)","54949.0 (884834.6)",1.009631e6,12.2,"2.1858709000000007","-4.864129099999999"
"(6,6)","20062.0 (243620.9)",253368.7,466.4,"5.619494789473683","-5.959452578947367"
"(6,10)","91384 (2.0586732e6)",1.75e6,NA,NA,NA
"(10,6)","84650.0 (-)",1.1702728e6,NA,NA,NA
"(10,10)","388124 (-)",8.09e6,NA,NA,NA
